time;model_id;model_name;port_name;data
0;1;MockBucket;;3
0;2;MockAPI;;4
0;4;Database;;{r: inf queue_size:0}
0;6;Switch;;{queue_size:0}
0;7;LambdaDispatch;;{r: inf, queue_size:0, state: EMPTY, Execs: ['Available', 'Available']}
0;8;Executor1;;{state: SLEEPING}
0;9;Executor0;;{state: SLEEPING}
0;10;APIGateway;;{r: inf queue_size:0}
0;11;Bucket;;{r: inf queue_size:0}
3;1;MockBucket;out;{Type:REQUEST, CreationTime:3, Source:generator, Dest:bucket}
3;1;MockBucket;;1
3;11;Bucket;;{r: 0.01 queue_size:1}
3.01;11;Bucket;resOut;{Type:RESPONSE, CreationTime:3, Source:BUCKET, Dest:BROWSER}
3.01;11;Bucket;;{r: inf queue_size:0}
4;1;MockBucket;out;{Type:REQUEST, CreationTime:4, Source:generator, Dest:bucket}
4;1;MockBucket;;1
4;2;MockAPI;out;{Type:REQUEST, CreationTime:4, Source:BROWSER, Dest:lambda}
4;2;MockAPI;;1.1
4;10;APIGateway;;{r: 0.001 queue_size:1}
4;11;Bucket;;{r: 0.01 queue_size:1}
4.001;7;LambdaDispatch;;{r: 0.01, queue_size:1, state: WORKING, Execs: ['Available', 'Available']}
4.001;10;APIGateway;reqOut;{Type:REQUEST, CreationTime:4, Source:BROWSER, Dest:lambda}
4.001;10;APIGateway;;{r: inf queue_size:0}
4.01;11;Bucket;resOut;{Type:RESPONSE, CreationTime:4, Source:BUCKET, Dest:BROWSER}
4.01;11;Bucket;;{r: inf queue_size:0}
4.011;7;LambdaDispatch;Executor0;{Type:REQUEST, CreationTime:4, Source:BROWSER, Dest:lambda}
4.011;7;LambdaDispatch;;{r: inf, queue_size:0, state: EMPTY, Execs: ['In Use', 'Available']}
4.011;9;Executor0;;{state: WAKING_UP}
5;1;MockBucket;out;{Type:REQUEST, CreationTime:5, Source:generator, Dest:bucket}
5;1;MockBucket;;1
5;11;Bucket;;{r: 0.01 queue_size:1}
5.01;11;Bucket;resOut;{Type:RESPONSE, CreationTime:5, Source:BUCKET, Dest:BROWSER}
5.01;11;Bucket;;{r: inf queue_size:0}
5.1;2;MockAPI;out;{Type:REQUEST, CreationTime:5, Source:BROWSER, Dest:lambda}
5.1;2;MockAPI;;0.9
5.1;10;APIGateway;;{r: 0.001 queue_size:1}
5.101;7;LambdaDispatch;;{r: 0.01, queue_size:1, state: WORKING, Execs: ['In Use', 'Available']}
5.101;10;APIGateway;reqOut;{Type:REQUEST, CreationTime:5, Source:BROWSER, Dest:lambda}
5.101;10;APIGateway;;{r: inf queue_size:0}
5.111;7;LambdaDispatch;Executor1;{Type:REQUEST, CreationTime:5, Source:BROWSER, Dest:lambda}
5.111;7;LambdaDispatch;;{r: inf, queue_size:0, state: EMPTY, Execs: ['In Use', 'In Use']}
5.111;8;Executor1;;{state: WAKING_UP}
6;1;MockBucket;out;{Type:REQUEST, CreationTime:6, Source:generator, Dest:bucket}
6;1;MockBucket;;1
6;2;MockAPI;out;{Type:REQUEST, CreationTime:6, Source:BROWSER, Dest:lambda}
6;2;MockAPI;;1
6;10;APIGateway;;{r: 0.001 queue_size:1}
6;11;Bucket;;{r: 0.01 queue_size:1}
6.001;7;LambdaDispatch;;{r: inf, queue_size:1, state: BLOCKED, Execs: ['In Use', 'In Use']}
6.001;10;APIGateway;reqOut;{Type:REQUEST, CreationTime:6, Source:BROWSER, Dest:lambda}
6.001;10;APIGateway;;{r: inf queue_size:0}
